time,xaccelerometer,yaccelerometer,zaccelerometer,force
5.25,0.0199820613,-7.0466775066,0.0797247011,-0.5903664027
5.26,0.0248097262,-7.1399958359,0.0625217172,-0.6011572129
5.27,0.0301694371,-7.2499402734,0.0453291746,-0.6155449598
5.28,0.0360653252,-7.3791930594,0.0313480925,-0.6335296434
5.29,0.0387582863,-7.5277643174,0.0168439053,-0.6533127954
5.3,0.0403708302,-7.6924464043,0.0119722149,-0.6766928842
5.31,0.0425135156,-7.86948494,0.0119541048,-0.7018714412
5.32,0.045192378,-8.0620735149,0.0199829809,-0.7288484667
5.33,0.0462707266,-8.2712934231,0.0328593433,-0.7594224289
5.34,0.0414671328,-8.4950101878,0.0505711406,-0.7899963911
5.35,0.0414491939,-8.7294734198,0.0741889116,-0.82416729
5.36,0.0371757236,-8.9730652405,0.0999697451,-0.8601366573
5.37,0.0339547122,-9.2204333354,0.1268291061,-0.8979044929
5.38,0.0312718637,-9.4678153365,0.152621885,-0.9356723286
5.39,0.0301935817,-9.7146626911,0.1751989853,-0.9752386326
5.4,0.0285870368,-9.9647159225,0.1908054472,-1.0148049366
5.41,0.0248417091,-10.2137117118,0.2021038511,-1.0543712406
5.42,0.0237595246,-10.4536144807,0.2101746821,-1.0939375446
5.43,0.027495061,-10.6790480899,0.2064571112,-1.1335038486
5.44,0.029645635,-10.8910621647,0.1925255002,-1.1748686209
5.45,0.0365982748,-11.0912646229,0.1715975894,-1.2126364566
5.46,0.0425000862,-11.2834040091,0.1479676411,-1.2504042922
5.47,0.0505348846,-11.4642860197,0.1216513421,-1.2881721279
5.48,0.0601801626,-11.6333642537,0.0947899588,-1.3223430268
5.49,0.0698312789,-11.7863593528,0.069532586,-1.3565139257
5.5,0.078948161,-11.926998492,0.0496342892,-1.3888863562
5.51,0.0885973412,-12.0542259163,0.0302907509,-1.4176618501
5.52,0.0934402884,-12.1733846095,0.0264737378,-1.4446388755
5.53,0.0971973573,-12.2871673944,0.0302075474,-1.4698174326
5.54,0.0998820731,-12.3897023131,0.0457458375,-1.4931975214
5.55,0.1004259332,-12.4804334366,0.0645386137,-1.511182205
5.56,0.0972223232,-12.5588241384,0.0897670756,-1.5273684203
5.57,0.0913339944,-12.6216642743,0.1171599948,-1.5417561672
